id,piece_name,category,era_or_year,materials_gemstones,price_type,source_site,listing_url,first_price,current_price,min_price,max_price,first_seen,last_seen,times_seen,status,notes
url:www.1stdibs.com/jewelry/bracelets/bangles/david-webb-platinum-18k-yellow-gold-zebra-black-white-enamel-diamond-brace/id-j_16014912,David Webb Platinum & 18K Yellow Gold Zebra Black and White Enamel Diamond Bracelet,bracelet,,"18k yellow gold, platinum, black & white enamel, diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/bangles/david-webb-platinum-18k-yellow-gold-zebra-black-white-enamel-diamond-brace/id-j_16014912,75520,75520,75520,75520,2026-08-04,2026-08-05,2,active,"List price shown; seller located in New York, NY"
url:www.1stdibs.com/jewelry/bracelets/link-bracelets/vintage-1960s-david-webb-double-headed-frog-bracelet/id-j_26050722,Vintage 1960s Double Headed Frog Bracelet,bracelet,1960s,"18k yellow gold, platinum, blue enamel, 6 cabochon rubies, 64 round brilliant-cut diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/link-bracelets/vintage-1960s-david-webb-double-headed-frog-bracelet/id-j_26050722,75000,75000,75000,75000,2026-08-04,2026-08-05,2,active,Circa 1960s; size 6.5 inches; signed David Webb; blue enamel (not green)
url:www.1stdibs.com/jewelry/bracelets/more-bracelets/david-webb-diamond-ruby-enamel-giraffe-bracelet/id-j_12250852,"Green Enamel, Diamond and Ruby Frog Bracelet",bracelet,,"18k yellow gold, platinum, green enamel, cabochon ruby eyes, 22 round diamonds (~0.60 ct), 2 additional cabochon rubies on clasp",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/more-bracelets/david-webb-diamond-ruby-enamel-giraffe-bracelet/id-j_12250852,68000,68000,68000,68000,2026-08-04,2026-08-05,2,active,Stylized frog with braided legs; ~67.3 dwts; inner circumference 6 inches (smaller wrist); signed David Webb
url:www.1stdibs.com/jewelry/necklaces/beaded-necklaces/david-webb-18k-yellow-gold-coral-onyx-turquoise-necklace/id-j_24465992,"David Webb 18K Yellow Gold Coral, Onyx, Turquoise Necklace",necklace,,"18k yellow gold, carved Chinese coral centerpiece bead (~27mm), coral beads (15–17mm), turquoise beads (~15.5mm), onyx and gold links",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/beaded-necklaces/david-webb-18k-yellow-gold-coral-onyx-turquoise-necklace/id-j_24465992,63900,63900,63900,63900,2026-08-04,2026-08-05,2,active,Exceptional carved coral centerpiece; bold colorful multi-stone design
url:www.1stdibs.com/jewelry/necklaces/choker-necklaces/david-webb-gold-diamond-platinum-vintage-necklace/id-j_9584962,David Webb Gold Diamond Platinum Vintage Necklace,necklace,,"18k yellow gold, platinum, full-cut diamonds (~2.50 ct, G-H-I color, VS clarity)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/choker-necklaces/david-webb-gold-diamond-platinum-vintage-necklace/id-j_9584962,57700,57700,57700,57700,2026-08-05,2026-08-05,1,active,Hinged necklace; 16 inches x 1 inch tapering to 3/8 inch; 157.5g; marked ©WEBB 18K PLAT; very good condition
url:thebackvault.com/collections/david-webb/bracelet,"Platinum & 18K Yellow Gold Green Enamel, Diamond and Ruby Frog Bracelet",bracelet,,"platinum, 18k yellow gold, green enamel, diamonds, rubies",asking,thebackvault.com,https://thebackvault.com/collections/david-webb/bracelet,55200,55200,55200,55200,2026-08-04,2026-08-05,2,active,Listed at regular price; authenticated vintage David Webb estate piece
url:www.1stdibs.com/creators/david-webb/jewelry/necklaces,David Webb Necklaces — Overall Market Range on 1stDibs,necklace,20th century,"various: gold, diamonds, coral, enamel, jade, rock crystal, emerald, ruby, sapphire",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/necklaces/,46160,46160,46160,46160,2026-08-04,2026-08-04,1,inactive,"102+ necklaces listed; price range $5,120–$420,000; average $46,160; majority designed in the 20th century"
url:www.1stdibs.com/creators/david-webb/jewelry/bracelets,David Webb White Enamel Large Link Diamond Bracelet,bracelet,circa 1975,"18k yellow gold, white enamel, diamonds",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/bracelets/,42900,42900,42900,42900,2026-08-05,2026-08-05,1,active,20% off sale price; oversized chunky link design; circa 1975; signed David Webb
url:www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-18-karat-yellow-gold-leopard-emerald-eye-cuff-bracelet/id-j_11303362,David Webb 18K Yellow Gold Leopard Emerald Eye Cuff Bracelet,bracelet,20th century,"18k yellow gold, cabochon emerald eyes",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-18-karat-yellow-gold-leopard-emerald-eye-cuff-bracelet/id-j_11303362/,41000,41000,41000,41000,2026-08-05,2026-08-05,1,active,"List price $45,540; iconic leopard motif cuff"
url:www.sothebys.com/en/sell/jewelry/david-webb,Pair of Emerald and Diamond Pendant-Earclips,earrings,,"emeralds, diamonds",estimate,sothebys.com,https://www.sothebys.com/en/sell/jewelry/david-webb,50000,40000,40000,50000,2026-08-04,2026-08-04,1,inactive,"Estimate $30,000–$50,000; Magnificent Jewels sale, 8 June 2023, New York, lot 116"
url:www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-18k-yellow-gold-white-enamel-necklace/id-j_20234462,David Webb 18K Yellow Gold White Enamel Bombe Necklace,necklace,,"18k yellow gold, white enamel, 21 bombe-shaped links",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-18k-yellow-gold-white-enamel-necklace/id-j_20234462,38000,38000,38000,38000,2026-08-05,2026-08-05,1,active,"15 inches long, 15.85mm wide, 160.3g gross weight; striped gold pattern on enamel"
"meta:sothebys.com|david webb diamond, enamel & ruby zebra bangle-bracelet|hammer|37500","David Webb Diamond, Enamel & Ruby Zebra Bangle-Bracelet",bracelet,,"18k gold, platinum, black & white enamel, ~3.00ct diamonds, cabochon ruby eyes",hammer,sothebys.com,,37500,37500,37500,37500,2026-08-05,2026-08-05,1,active,"Sold at Sotheby's New York, December 2009; internal circumference 6 inches; signed David Webb"
url:www.liveauctioneers.com/price-guide/david-webb/26030,"Enameled 18K Yellow Gold, Diamond and Ruby Frog Bracelet (Auction Result)",bracelet,,"18k yellow gold, enamel, diamonds, rubies",hammer,liveauctioneers.com,https://www.liveauctioneers.com/price-guide/david-webb/26030/,,37500,37500,37500,2026-08-04,2026-08-05,2,active,"Sold at a June 11 fine jewelry auction; hammer price $37,500; reported via LiveAuctioneers price guide"
url:www.sothebys.com/en/auctions/ecatalogue/2015/important-jewels-n09400/lot.459.html,Gold Hammered Ropetwist Necklace with Circular Pendant/Brooch,necklace,,"18k gold, hammered ropetwist links, openwork circular pendant; convertible brooch fitting",hammer,sothebys.com,http://www.sothebys.com/en/auctions/ecatalogue/2015/important-jewels-n09400/lot.459.html,37500,37500,37500,37500,2026-08-04,2026-08-04,1,inactive,"2015 Important Jewels sale, lot 459; 32-inch length with detachable segments; signed David Webb; gross weight approx. 295 dwts"
url:www.1stdibs.com/jewelry/bracelets/clamper-bracelets/david-webb-frog-bracelet/id-j_10699842,"Frog Bracelet (Ruby, Gold, Platinum)",bracelet,,"18k yellow gold, platinum, ruby, enamel",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/clamper-bracelets/david-webb-frog-bracelet/id-j_10699842/,37050,37050,37050,37050,2026-08-04,2026-08-05,2,active,"Listed at $37,050 (reduced from $39,000 list price); 20th century American Modern clamper bracelet"
url:www.1stdibs.com/buy/david-webb-rock-crystal-necklace,Rock Crystal Necklace (Category Range),necklace,20th century,"platinum, diamonds, onyx, rock crystal, pearls",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-rock-crystal-necklace/,36500,36500,36500,36500,2026-08-04,2026-08-04,1,inactive,"Category average price $36,500; range $14,500–$150,000 across 11 listings; 1980s bold graphic style noted"
url:www.1stdibs.com/jewelry/necklaces/pendant-necklaces/vintage-1970s-david-webb-gold-collar-necklace-diamonds/id-j_26077402,Vintage 1970s David Webb Gold Collar Necklace with Diamonds,necklace,1970s,"18k yellow gold, platinum, round brilliant diamonds (~2.50 ct total)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/vintage-1970s-david-webb-gold-collar-necklace-diamonds/id-j_26077402,36000,36000,36000,36000,2026-08-05,2026-08-05,1,active,"Signed David Webb; 15 inches long; 90.98g; seller located in New York, NY"
url:thebackvault.com/collections/david-webb,1960s Maltese Cross Lapis & Enamel Brooch/Pendant,brooch,1960s,"platinum, 18k yellow gold, lapis lazuli, enamel",asking,thebackvault.com,https://thebackvault.com/collections/david-webb,34400,35700,34400,35700,2026-08-05,2026-08-05,1,active,1960s era cross-style brooch with lapis and enamel. Signed Webb.
meta:christies.com|diamond and multi-gem earrings|hammer|35000,Diamond and Multi-Gem Earrings,earrings,,"diamonds, multi-gem",hammer,christies.com,,35000,35000,35000,35000,2026-08-05,2026-08-05,1,active,Sold at Christie's Jewels Online sale; realized more than four times its low estimate. Reported via Rapaport/Christie's press.
url:www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-emerald-frog-gold-cuff-bracelet/id-j_25971662,Emerald Frog Gold Cuff Bracelet,bracelet,20th century,"18k yellow gold, emerald cabochon eyes",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-emerald-frog-gold-cuff-bracelet/id-j_25971662,35000,35000,35000,35000,2026-08-04,2026-08-04,1,inactive,"Iconic cuff depicting a single frog with emerald cabochon eyes; fits ~7"" wrist; width 1.5""; weight 126.3g; marked Webb and 18k inside; wear consistent with age"
meta:christies.com|gold necklace|hammer|35000,Gold Necklace,necklace,,18k gold,hammer,christies.com,,35000,35000,35000,35000,2026-08-05,2026-08-05,1,active,Sold at Christie's Jewels Online sale; realized more than four times its low estimate. Reported via Rapaport/Christie's press.
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-white-enamel-tiger-brooch/id-j_16450312,White Enamel Tiger Brooch,brooch,circa 1965,"18k gold, white champlevé enamel, pear-shaped cabochon emerald eyes, round brilliant-cut diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-white-enamel-tiger-brooch/id-j_16450312,35000,35000,35000,35000,2026-08-05,2026-08-05,1,active,Designed by David Webb in 1965; sculpted prowling white tiger form; signed Webb
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-rock-crystal-large-maltese-cross-scroll-pendant-brooch-rr8104,Rock Crystal Large Maltese Cross Scroll Pendant Brooch,brooch,,"Platinum, 18k yellow gold, faceted rock crystal, round-cut diamonds",asking,thebackvault.com,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-rock-crystal-large-maltese-cross-scroll-pendant-brooch-rr8104,34400,34400,34400,34400,2026-08-04,2026-08-04,1,inactive,Brooch/pendant convertible; 2.75x2.80 inches; 76.5g; signed WEBB; condition: excellent
url:www.liveauctioneers.com/search/david-webb-vintage-jewelry,Vintage Maltese Cross Brooch Pendant,brooch,vintage,"Platinum, 18k yellow gold, diamonds",hammer,liveauctioneers.com,https://www.liveauctioneers.com/search/david-webb-vintage-jewelry,31410,31410,31410,31410,2026-08-04,2026-08-04,1,inactive,Sold via Mynt Auctions with 28 bids; wearable as brooch or pendant
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-white-enamel-frog-brooch-set-diamond-eyes-18k-yellow-gold/id-j_11741232,White Enamel Frog Brooch Set (2 pieces),brooch,20th century,"18k yellow gold, white enamel, round brilliant diamonds (~0.35 carat, G-H/VS)",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-white-enamel-frog-brooch-set-diamond-eyes-18k-yellow-gold/id-j_11741232/,29000,29000,29000,29000,2026-08-05,2026-08-05,1,active,"Set of two frogs; larger frog ~1.75"" x 1.25"", 48.8g; each comes with David Webb certificate of authenticity"
url:www.1stdibs.com/jewelry/brooches/brooches/exquisite-david-webb-gold-diamond-flower-brooch/id-j_19680172,Gold Diamond Flower Brooch,brooch,20th century,"18k gold, ~9 carat H/VS-SI round brilliant diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/exquisite-david-webb-gold-diamond-flower-brooch/id-j_19680172,28000,28000,28000,28000,2026-08-04,2026-08-05,2,active,"Marked Webb and 18k; measures 2 3/8"" x 1 7/8""; 24.1 grams; wear consistent with age and use; seller located in New York, NY"
url:www.1stdibs.com/jewelry/more-jewelry-watches/more-jewelry/david-webb-platinum-18k-yellow-gold-rock-crystal-large-maltese-cross-scroll-pendant-brooch-rr8104/id-j_12862122,Vintage 1980s Diamond Rock Crystal Pendant,other,1980s,"Platinum, 18k white gold, carved rock crystal, diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/more-jewelry-watches/more-jewelry/david-webb-platinum-18k-yellow-gold-rock-crystal-large-maltese-cross-scroll-pendant-brooch-rr8104/id-j_12862122,28000,28000,28000,28000,2026-08-04,2026-08-04,1,inactive,Circa 1980s; 2.0x1.25 inches; stamped WEBB; chain not included
url:www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-gold-rope-necklace/id-j_26024782,David Webb Gold Rope Necklace,necklace,1980s,"18k yellow gold, rope motif links",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/link-necklaces/david-webb-gold-rope-necklace/id-j_26024782,27000,27000,27000,27000,2026-08-05,2026-08-05,1,active,"16.5 inches long; 163.2g; signed Webb; seller in New York, NY"
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-yellow-gold-panther-pin-brooch-pendant-charm/id-j_9082042,Panther (Leopard) Pin Brooch Pendant Charm,brooch,1980s,"18k yellow gold, platinum, cabochon emerald eyes, black enamel, ~1.70 carat round brilliant diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-yellow-gold-panther-pin-brooch-pendant-charm/id-j_9082042,25500,25500,25500,25500,2026-08-05,2026-08-05,1,active,Articulated for realistic movement; length 2.5 inches head to tail; made in USA circa 1980s
url:www.1stdibs.com/jewelry/necklaces/pendant-necklaces/david-webb-18k-yellow-gold-rock-crystal-maltese-style-cross-pendant-brooch/id-j_17680622,Rock Crystal Maltese-Style Cross Pendant/Brooch,necklace,20th century,"platinum, 18k yellow gold, checkerboard-cut rock crystal, round-cut diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/david-webb-18k-yellow-gold-rock-crystal-maltese-style-cross-pendant-brooch/id-j_17680622,24960,24960,24960,24960,2026-08-04,2026-08-05,2,active,"Currently 20% off from $31,200 list price. Convertible pendant/brooch, 2.5 x 2.5 inches, double pin closure. Signed Webb."
url:www.1stdibs.com/jewelry/brooches/brooches/david-webb-18k-yellow-gold-black-enamel-elephant-brooch/id-j_22278042,Black Enamel Elephant Brooch,brooch,circa 1990,"18k yellow gold, platinum, black enamel, cabochon ruby eye",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-18k-yellow-gold-black-enamel-elephant-brooch/id-j_22278042,24400,24400,24400,24400,2026-08-05,2026-08-05,1,active,"Metal weight 38.4g; signed WEBB; listed at 20% off from original $30,500; condition: excellent"
url:www.sothebys.com/en/buy/luxury/jewelry/david-webb,Gold and Enamel Cuff Bracelet,bracelet,,"18k gold, enamel",hammer,sothebys.com,https://www.sothebys.com/en/buy/luxury/jewelry/david-webb,21250,21250,21250,21250,2026-08-05,2026-08-05,1,active,"Top David Webb lot in Sotheby's Jewels Online sale; sold well above $6,000–$8,000 estimate. Highest sell-through rate of any Sotheby's online jewelry sale at the time."
url:www.1stdibs.com/jewelry/brooches/brooches/unique-david-webb-vintage-gold-maltese-crosee-brooch/id-j_23211142,Vintage Gold Maltese Cross Pin/Pendant,brooch,,"18k yellow gold, round-cut diamonds",asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/unique-david-webb-vintage-gold-maltese-crosee-brooch/id-j_23211142,21200,21200,21200,21200,2026-08-05,2026-08-05,1,active,Versatile piece wearable as brooch or pendant. Signed David Webb.
url:www.1stdibs.com/creators/david-webb/jewelry/rings/dome-rings,David Webb Dome Ring Collection,ring,20th century,"18k gold, platinum, diamonds, enamel, lapis, ruby, emerald",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/dome-rings/,21050,21050,21050,21050,2026-08-04,2026-08-04,1,inactive,"30 listings; price range $5,760–$120,000; average $21,050. Includes carved ruby/emerald/diamond ring and lapis/emerald/diamond cocktail ring"
url:www.1stdibs.com/creators/david-webb/jewelry/rings/cocktail-rings,David Webb Cocktail Ring Collection,ring,20th–21st century,"18k gold, platinum, diamonds, enamel, various gemstones",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/cocktail-rings/,20280,20280,20280,20280,2026-08-04,2026-08-04,1,inactive,"164 listings; price range $3,750–$975,000; average $20,280. Pieces stamped 'Webb'; David Webb offers paid authentication service"
url:www.1stdibs.com/creators/david-webb/jewelry/rings,David Webb All Rings – General Listing (229 pieces),ring,20th century,"18k gold, platinum, diamonds, various gemstones",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/,19852,19852,19852,19852,2026-08-04,2026-08-04,1,inactive,"229 rings listed; price range $3,750–$2,200,000; average sale price $19,852"
url:www.1stdibs.com/jewelry/bracelets/link-bracelets/dwebb-18k-gold-zebra-enamel-bracelet/id-j_23998952,D.Webb 18K Gold Zebra Enamel Bracelet,bracelet,,"18k yellow gold, black & white enamel",asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/link-bracelets/dwebb-18k-gold-zebra-enamel-bracelet/id-j_23998952,19000,19000,19000,19000,2026-08-04,2026-08-05,2,active,"List price $26,400; weight 83.4g; width 14mm; length 170mm; seller in Flushing, NY"
url:www.1stdibs.com/buy/david-webb-turquoise,David Webb Turquoise & Diamond Clip-On Earrings,earrings,20th century,"18k yellow gold, platinum, turquoise, diamonds",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-turquoise/,19000,19000,19000,19000,2026-08-05,2026-08-05,1,active,"Average sale price for David Webb turquoise category; range $3,300–$250,000; 30g total weight; cabochon and round-cut turquoise variants available"
url:www.1stdibs.com/creators/david-webb/jewelry/earrings/hoop-earrings,David Webb Malachite Door Knocker Hoop Earrings,earrings,20th century,"18k yellow gold, malachite",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/earrings/hoop-earrings/,18530,18530,18530,18530,2026-08-05,2026-08-05,1,active,"Door knocker hoop design; specific asking price not publicly listed in search results; part of hoop earrings category ($7,040–$37,600 range)"
url:www.1stdibs.com/buy/david-webb-rock-crystal-earrings,David Webb Rock Crystal & Diamond Ear Clips,earrings,20th century,"18k yellow gold, platinum, faceted pear-shaped rock crystal, round-cut diamonds (~2.50 ct total)",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-rock-crystal-earrings/,18170,18170,18170,18170,2026-08-05,2026-08-05,1,active,"Average sale price for rock crystal category; range $8,500–$49,500; clip-on closure; signed Webb 18K Plat; COA available on select listings"
url:www.1stdibs.com/buy/david-webb-emerald-earrings,David Webb Emerald & Diamond Pendant Earrings,earrings,20th century,"18k yellow gold, cabochon emeralds (~8.50 ct total), diamonds, platinum",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-emerald-earrings/,18150,18150,18150,18150,2026-08-05,2026-08-05,1,active,"Average sale price for David Webb emerald earrings category on 1stDibs; range $1–$195,000; 2-in-1 convertible day-to-night design; signed"
url:www.1stdibs.com/creators/david-webb/jewelry/brooches,Lucky Frog Ruby & Green Enamel Pin Brooch,brooch,,"18k gold, green enamel, 2 cabochon ruby eyes (6mm x 5mm)",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/,18000,18000,18000,18000,2026-08-05,2026-08-05,1,active,Measures 2 x 1 1/4 inch; 38.9 grams; stamped hallmarks Webb 18K; free shipping
url:www.1stdibs.com/jewelry/bracelets/link-bracelets/david-webb-turquoise-bracelet-earclips/id-j_3479,David Webb Turquoise Bracelet and Earclips,bracelet,,turquoise (set includes matching earclips),asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/link-bracelets/david-webb-turquoise-bracelet-earclips/id-j_3479,16500,16500,16500,16500,2026-08-05,2026-08-05,1,active,Listed as a set with earclips; signed David Webb
url:www.1stdibs.com/buy/david-webb-emerald-ring,"Tiger Ring with Emeralds, Diamonds and Black Enamel",ring,20th century,"18k gold, green emeralds, diamonds, black enamel",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-emerald-ring/,16500,16500,16500,16500,2026-08-04,2026-08-05,2,active,Original David Webb Tiger Ring; listed under emerald ring category
url:www.1stdibs.com/buy/david-webb-amethyst-ring,Amethyst Cocktail Ring,ring,20th century,"18k gold, amethyst",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-amethyst-ring/,16250,16250,16250,16250,2026-08-04,2026-08-05,2,active,"Average sale price on 1stDibs; range $6,930–$65,000; 6 listings available"
url:www.1stdibs.com/creators/david-webb/jewelry/earrings/clip-on-earrings,David Webb Ruby & Diamond Enamel Clip-On Earrings,earrings,20th century,"18k yellow gold, platinum, rubies, enamel, diamonds",asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/earrings/clip-on-earrings/,16190,16190,16190,16190,2026-08-05,2026-08-05,1,active,"Average sale price for clip-on earrings category; range $3,500–$250,000; bold mid-century enamel design; stamped 'Webb'"
url:www.1stdibs.com/buy/david-webb-pearl-ring,Pearl and Black Enamel Ring with Diamonds,ring,20th century,"18k gold, pearl, black enamel, diamonds",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-pearl-ring/,15845,15845,15845,15845,2026-08-04,2026-08-05,2,active,Described as bold and brave; part of the pearl ring category on 1stDibs
url:www.1stdibs.com/buy/david-webb-white-enamel-ring,White Enamel and Gold Bombe Ring,ring,20th century,"18k yellow gold, white enamel",asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-white-enamel-ring/,14025,14025,14025,14025,2026-08-04,2026-08-05,2,active,"Average sale price on 1stDibs; range $2,900–$47,025; 67 listings; signed Webb; iconic bombe dome style"
